attendanceRate,gpa,failedCourses,disciplinaryIncidents,consecutiveAbsences,tardyCount,riskScore,riskLabel
0.6247240713084175,1.9628323220965491,3,0,11,16,74.88271392669782,High
0.9704285838459497,2.8547523684458955,2,3,1,3,37.63533296170306,Low
0.839196365086843,3.6823645896910207,3,4,3,7,48.60849949961607,Medium
0.759195090518222,3.3305622160239032,5,4,5,4,66.8265742190321,Medium
0.4936111842654619,3.5164028696536245,1,4,0,15,53.59152393284528,Medium
0.49359671220172163,3.146958416776793,5,1,9,3,72.78654734416321,High
0.4348501673009197,3.2306914112946314,1,0,3,14,46.799079195016894,Medium
0.9197056874649611,3.6229891289132983,0,3,5,11,31.981881212268576,Low
0.7606690070459252,2.1241700221479647,4,1,8,4,66.33153949668335,Medium
0.8248435466776274,2.723562409107851,5,2,13,15,79.7706340418164,High
0.41235069657748147,2.0530236045490056,3,3,10,13,91.47573609141068,High
0.9819459112971965,3.9691700199916173,0,3,10,9,32.530463348195966,Low
0.899465584480253,3.860148349216533,4,3,12,6,58.41989312862455,Medium
0.5274034664069657,1.5985670284212647,3,4,1,12,81.41819105950873,High
0.5090949803242604,3.263937931289221,2,3,10,19,73.49682147413738,High
0.5100427059120604,3.8131207935391647,3,0,6,4,47.467083828125936,Medium
0.5825453457757226,1.9514383628183338,1,3,5,2,62.68380254078776,Medium
0.7148538589793427,2.9198630763815734,1,4,1,14,51.70721487701056,Medium
0.6591670111852694,3.7887207439701047,2,3,7,3,49.74611211288818,Medium
0.5747374841188252,1.584864946464497,0,2,6,14,65.16185117060202,Medium
0.7671117368334277,3.2435506681171,4,2,10,13,66.38002384549189,Medium
0.4836963163912251,2.243372518431377,3,4,4,19,84.71842216003722,High
0.5752867891211308,3.810990488441326,1,0,11,18,49.37862355074151,Medium
0.619817105976215,3.9276456129134196,0,0,4,12,27.930859631817206,Low
0.6736419905302216,3.8606662227835846,2,1,6,9,41.94765815095529,Medium
0.8711055768358081,2.6855355416436595,5,4,8,4,73.30042151013109,High
